question,gold answers,predicted answer,correct,system
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","['ruddygore', 'ruddigore witch s curse', 'ruddigore', ""ruddigore, the witch's curse"", 'rudigore']",The Mikado,No,"['verbalized-GLM-4.6V-Flash', 'verbalized-Qwen3.5-4B']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","[""ruddigore, the witch's curse"", 'rudigore', 'ruddigore witch s curse', 'ruddygore', 'ruddigore']",The Pirates of Penzance,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","[""ruddigore, the witch's curse"", 'ruddygore', 'ruddigore witch s curse', 'rudigore', 'ruddigore']",The Sorcerer,No,"['is_true-GLM-4.6V-Flash', 'is_true-Ministral-3-8B-Instruct-2512', 'label_prob-GLM-4.6V-Flash', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","['ruddigore', ""ruddigore, the witch's curse"", 'ruddigore witch s curse', 'ruddygore', 'rudigore']",The Witches Curse,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['james laker', 'jim laker']",Peter May,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['james laker', 'jim laker']",Fred Trueman,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['jim laker', 'james laker']",Brian Statham,No,['verbalized-GLM-4.6V-Flash']
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['jim laker', 'james laker']",Ray Lindwall,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (disambiguation)', 'farthing', 'farthings', 'farthing disambiguation', 'farthing coin', 'farthing (coin)']","""A Kid for Two Farthings""",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing', 'farthing disambiguation', 'farthing (coin)', 'farthings', 'farthing coin', 'farthing (disambiguation)']",Pennies,No,"['is_true-gemini-2.5-flash-lite', 'label_prob-gemini-2.5-flash-lite']"
