question,gold answers,predicted answer,correct,system
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","['ruddigore', ""ruddigore, the witch's curse"", 'ruddigore witch s curse', 'ruddygore', 'rudigore']",The Mikado,No,"['verbalized-GLM-4.6V-Flash', 'verbalized-Qwen3.5-4B']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","[""ruddigore, the witch's curse"", 'rudigore', 'ruddigore witch s curse', 'ruddygore', 'ruddigore']",The Pirates of Penzance,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","['rudigore', 'ruddigore', 'ruddigore witch s curse', ""ruddigore, the witch's curse"", 'ruddygore']",The Sorcerer,No,"['is_true-GLM-4.6V-Flash', 'is_true-Ministral-3-8B-Instruct-2512', 'label_prob-GLM-4.6V-Flash', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
"""Which Gilbert and Sullivan operetta is sub titled 'The Witches Curse""""?""","['ruddygore', 'ruddigore', 'rudigore', ""ruddigore, the witch's curse"", 'ruddigore witch s curse']",The Witches Curse,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['james laker', 'jim laker']",Peter May,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['jim laker', 'james laker']",Fred Trueman,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512', 'verbalized-Ministral-3-8B-Instruct-2512']"
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['jim laker', 'james laker']",Brian Statham,No,['verbalized-GLM-4.6V-Flash']
Which English cricketer had figures for bowling 10 for 53 against Australia 1956?,"['james laker', 'jim laker']",Ray Lindwall,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (disambiguation)', 'farthing coin', 'farthing', 'farthing disambiguation', 'farthing (coin)', 'farthings']",A Kid for Two,No,['verbalized-Qwen3.5-9B']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing coin', 'farthing (disambiguation)', 'farthings', 'farthing disambiguation', 'farthing (coin)', 'farthing']",Moons,No,['verbalized-Qwen3.5-4B']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing disambiguation', 'farthings', 'farthing (disambiguation)', 'farthing', 'farthing coin', 'farthing (coin)']",A Wolf in Sheep's Clothing,No,['verbalized-GLM-4.6V-Flash']
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (coin)', 'farthing coin', 'farthing disambiguation', 'farthings', 'farthing', 'farthing (disambiguation)']",A Kite,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (disambiguation)', 'farthing', 'farthings', 'farthing disambiguation', 'farthing coin', 'farthing (coin)']","""A Kid for Two Farthings""",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing (coin)', 'farthing (disambiguation)', 'farthing', 'farthing disambiguation', 'farthings', 'farthing coin']",A Kid for Two Mikes,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B']"
Wolf Mankowitz wrote the 1953 novel ‘A Kid For Two….’what’?,"['farthing coin', 'farthing (disambiguation)', 'farthing disambiguation', 'farthing (coin)', 'farthing', 'farthings']",A Kid for Two Farthings,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Ministral-3-8B-Instruct-2512']"
Who is the patron saint of dancers?,"['saint crescentia', 'crescentia modestus and vitus saints', 'saint guy', 'monastery of st. vito', 'st vito', 'crescentia, modestus, and vitus', 'vitus, modestus, and crescentia', 'crescentia modestus and vitus', 'vít', 'modestus vitus and crescentia', 'vitus (saint)', 'st vitus', 'vitus modestus and crescentia', 'st. vito', 'vitus saint', 'sts. vitus, modestus, and crescentia', 'monastery of st vito', 'vitus, modestus and crescentia', 'saint vitus day', 'st. vitus', 'vitus', 'modestus, vitus, and crescentia, saints', 'saint vitus', 'modestus, vitus, and crescentia', 'saint vito', 's. vito', 'crescentia, modestus, and vitus, saints', 'sts vitus modestus and crescentia', 'modestus vitus and crescentia saints', 's vito']",Saint Joseph,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
Who is the patron saint of dancers?,"['vít', 'modestus, vitus, and crescentia', 'st. vito', 'modestus vitus and crescentia', 'modestus, vitus, and crescentia, saints', 'saint guy', 'vitus', 'sts. vitus, modestus, and crescentia', 'saint vitus day', 'monastery of st. vito', 's. vito', 'vitus, modestus, and crescentia', 'saint vito', 'crescentia, modestus, and vitus, saints', 'saint vitus', 'st vitus', 'vitus (saint)', 'vitus, modestus and crescentia', 'saint crescentia', 'st vito', 'modestus vitus and crescentia saints', 'vitus saint', 'monastery of st vito', 'st. vitus', 'sts vitus modestus and crescentia', 'vitus modestus and crescentia', 'crescentia modestus and vitus', 'crescentia, modestus, and vitus', 's vito', 'crescentia modestus and vitus saints']",Saint Lucy,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
"Published on Feb 21, 1848, which two authors were responsible for the Communist Manifesto?",['karl marx and friedrich engels'],Karl Marx** and **Friedrich Engels**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
The nickname for Dumfries became the name of which Scottish football club?,"['mighty queen of south', 'the doonhamers', 'qots', 'qotsfc', 'queen of south f c', 'doonhamers', 'queen of south', 'the mighty queen of the south', 'queen of the south fc', 'qosfc', 'queen of the south', 'queen of the south f. c.', 'queen of south fc', 'queen of the south f.c.', 'queen of the south f c']",Dumbarton**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
The nickname for Dumfries became the name of which Scottish football club?,"['queen of the south f. c.', 'qotsfc', 'doonhamers', 'qosfc', 'queen of the south', 'queen of the south f.c.', 'queen of south f c', 'queen of south fc', 'queen of south', 'the doonhamers', 'mighty queen of south', 'queen of the south f c', 'the mighty queen of the south', 'queen of the south fc', 'qots']",Heart of Midlothian,No,['verbalized-GLM-4.6V-Flash']
The nickname for Dumfries became the name of which Scottish football club?,"['queen of the south fc', 'queen of the south', 'qosfc', 'queen of south f c', 'the mighty queen of the south', 'qotsfc', 'qots', 'queen of the south f.c.', 'doonhamers', 'queen of south fc', 'mighty queen of south', 'queen of the south f. c.', 'the doonhamers', 'queen of south', 'queen of the south f c']",Dumfries,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B', 'verbalized-Qwen3.5-9B']"
The nickname for Dumfries became the name of which Scottish football club?,"['qosfc', 'the doonhamers', 'queen of south', 'the mighty queen of the south', 'queen of the south f.c.', 'queen of south fc', 'queen of the south fc', 'queen of the south f. c.', 'queen of the south', 'qotsfc', 'qots', 'queen of south f c', 'queen of the south f c', 'mighty queen of south', 'doonhamers']",Dumfries FC,No,['verbalized-Ministral-3-8B-Instruct-2512']
The nickname for Dumfries became the name of which Scottish football club?,"['the doonhamers', 'qotsfc', 'mighty queen of south', 'queen of south f c', 'queen of the south fc', 'qosfc', 'doonhamers', 'queen of the south f. c.', 'the mighty queen of the south', 'queen of the south f.c.', 'queen of south fc', 'queen of the south f c', 'queen of south', 'qots', 'queen of the south']",Dumfries and Galloway,No,"['is_true-Qwen3.5-4B', 'label_prob-Qwen3.5-4B', 'verbalized-Qwen3.5-4B']"
The nickname for Dumfries became the name of which Scottish football club?,"['qotsfc', 'queen of the south fc', 'queen of the south f. c.', 'queen of south fc', 'mighty queen of south', 'queen of the south f.c.', 'queen of the south f c', 'queen of south f c', 'queen of south', 'the mighty queen of the south', 'queen of the south', 'qots', 'the doonhamers', 'qosfc', 'doonhamers']",Aberdeen,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash']"
The revolutionary group the Sandinistas were active in which country?,"['nicuragua', 'health in nicaragua', 'iso 3166-1:ni', 'iso 3166 1 ni', 'etymology of nicaragua', 'nicaragua, central america', 'nicarugua', 'república de nicaragua', 'bibliography of nicaragua', 'administrative divisions of nicaragua', 'nicaraguan', 'nicaragua', 'the republic of nicaragua', 'republic of nicaragua', 'nicaragua central america', 'republica de nicaragua', 'subdivisions of nicaragua', 'sport in nicaragua']",Nicaragua**.,No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steven norris', 'steven john norris', 'stephen norris', 'steve norris']",Michael Howard,No,"['is_true-GLM-4.6V-Flash', 'label_prob-GLM-4.6V-Flash', 'verbalized-GLM-4.6V-Flash']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steven norris', 'steve norris', 'steven john norris', 'stephen norris']","Ken Livingstone** won the first two elections for Mayor of London in 2000 and 2004, so there was no conservative candidate beaten in those elections.",No,"['is_true-Ministral-3-8B-Instruct-2512', 'label_prob-Ministral-3-8B-Instruct-2512']"
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steven john norris', 'stephen norris', 'steve norris', 'steven norris']",Ken Livingstone** (likely referring to **Rushanara Ali** or **Brian Paddick**—but most probable is **Brian Paddick** in 2000),No,['verbalized-Ministral-3-8B-Instruct-2512']
Who was the conservative candidate beaten by Ken Livingstone in the first two elections for Mayor of London?,"['steve norris', 'steven john norris', 'stephen norris', 'steven norris']",Ken Livingstone was not a conservative candidate; he was a Labour candidate. The question contains a factual error.,No,"['is_true-Qwen3.5-9B', 'label_prob-Qwen3.5-9B']"
